category,brand,condition,price
phone,Apple,excellent,56000
phone,Apple,excellent,52000
phone,Apple,good,44000
phone,Samsung,excellent,46000
phone,Samsung,good,36000
phone,Xiaomi,good,22000
laptop,Dell,excellent,65000
laptop,Dell,good,51000
laptop,HP,excellent,62000
laptop,HP,good,48000
laptop,Lenovo,good,45000
camera,Canon,excellent,52000
camera,Canon,good,41000
camera,Sony,excellent,68000
camera,Sony,good,54000
furniture,generic,excellent,14000
furniture,generic,good,9000
furniture,generic,fair,5500
bicycle,generic,excellent,18000
bicycle,generic,good,12000
appliance,Samsung,excellent,30000
appliance,Samsung,good,22000
appliance,LG,good,20000
fashion,generic,excellent,4500
fashion,generic,good,2500
books,generic,good,1200
books,generic,fair,700
gaming,Sony,excellent,48000
gaming,Sony,good,39000
gaming,Microsoft,good,36000
accessories,Apple,excellent,15000
accessories,generic,good,4000
