title,description,category,brand,condition,price,seller_account_age_days,seller_review_count,seller_rating_average,prior_flagged_listings,active_listing_count,duplicate_photo,urgent_language,off_platform_contact,prohibited_language,brand_mismatch,label,source
Google phone new near Dhanmondi,new Google phone available near Dhanmondi. Inspection welcome before purchase.,phone,Google,new,48200,337,29,4.1,0,3,0,0,0,0,0,clean,synthetic_showcase_generator
Asus laptop new near Banani,new Asus laptop available near Banani. Inspection welcome before purchase.,laptop,Asus,new,72800,733,13,4.7,0,6,0,0,0,0,0,clean,synthetic_showcase_generator
Nikon camera new near Gulshan,new Nikon camera available near Gulshan. Inspection welcome before purchase.,camera,Nikon,new,37650,862,7,4.4,0,2,0,0,0,0,0,clean,synthetic_showcase_generator
Local furniture new near Mirpur,new Local furniture available near Mirpur. Inspection welcome before purchase.,furniture,Local,new,13100,335,17,4.0,1,7,0,0,0,0,0,clean,synthetic_showcase_generator
Giant bicycle new near Mohammadpur,new Giant bicycle available near Mohammadpur. Inspection welcome before purchase.,bicycle,Giant,new,22200,683,8,4.1,0,4,0,0,0,0,0,clean,synthetic_showcase_generator
LG appliance new near Uttara,new LG appliance available near Uttara. Inspection welcome before purchase.,appliance,LG,new,21900,222,5,4.9,0,6,0,0,0,0,0,clean,synthetic_showcase_generator
Sailor fashion new near Badda,new Sailor fashion available near Badda. Inspection welcome before purchase.,fashion,Sailor,new,5100,515,23,4.8,1,2,0,0,0,0,0,clean,synthetic_showcase_generator
Cambridge books new near Wari,new Cambridge books available near Wari. Inspection welcome before purchase.,books,Cambridge,new,1450,25,13,4.3,0,6,0,0,0,0,0,clean,synthetic_showcase_generator
Microsoft gaming new near Dhanmondi,new Microsoft gaming available near Dhanmondi. Inspection welcome before purchase. Original receipt available.,gaming,Microsoft,new,29650,249,6,4.4,0,1,0,0,0,0,0,clean,synthetic_showcase_generator
Baseus accessories new near Banani,new Baseus accessories available near Banani. Inspection welcome before purchase.,accessories,Baseus,new,6150,824,11,4.5,0,4,0,0,0,0,0,clean,synthetic_showcase_generator
OnePlus phone excellent near Gulshan,excellent OnePlus phone available near Gulshan. Inspection welcome before purchase.,phone,OnePlus,excellent,35750,186,4,4.0,1,2,0,0,0,0,0,clean,synthetic_showcase_generator
Apple laptop excellent near Mirpur,excellent Apple laptop available near Mirpur. Inspection welcome before purchase.,laptop,Apple,excellent,52200,806,26,4.1,0,2,0,0,0,0,0,clean,synthetic_showcase_generator
Fujifilm camera excellent near Mohammadpur,excellent Fujifilm camera available near Mohammadpur. Inspection welcome before purchase.,camera,Fujifilm,excellent,43800,880,13,4.0,0,6,0,0,0,0,0,clean,synthetic_showcase_generator
Hatil furniture excellent near Uttara,excellent Hatil furniture available near Uttara. Inspection welcome before purchase.,furniture,Hatil,excellent,9000,16,4,4.8,0,8,0,0,0,0,0,clean,synthetic_showcase_generator
Duranta bicycle excellent near Badda,excellent Duranta bicycle available near Badda. Inspection welcome before purchase.,bicycle,Duranta,excellent,14800,464,29,4.3,0,7,0,0,0,0,0,clean,synthetic_showcase_generator
LG appliance excellent near Wari,excellent LG appliance available near Wari. Inspection welcome before purchase.,appliance,LG,excellent,22450,536,8,4.3,1,2,0,0,0,0,0,clean,synthetic_showcase_generator
Yellow fashion excellent near Dhanmondi,excellent Yellow fashion available near Dhanmondi. Inspection welcome before purchase.,fashion,Yellow,excellent,3150,66,33,4.9,1,3,0,0,0,0,0,clean,synthetic_showcase_generator
OReilly books excellent near Banani,excellent OReilly books available near Banani. Inspection welcome before purchase.,books,OReilly,excellent,1700,439,11,4.6,0,7,0,0,0,0,0,clean,synthetic_showcase_generator
Sony gaming excellent near Gulshan,excellent Sony gaming available near Gulshan. Inspection welcome before purchase.,gaming,Sony,excellent,22950,789,12,4.1,0,5,0,0,0,0,0,clean,synthetic_showcase_generator
Anker accessories excellent near Mirpur,excellent Anker accessories available near Mirpur. Inspection welcome before purchase.,accessories,Anker,excellent,4850,116,7,4.3,1,5,0,0,0,0,0,clean,synthetic_showcase_generator
OnePlus phone good near Mohammadpur,good OnePlus phone available near Mohammadpur. Inspection welcome before purchase.,phone,OnePlus,good,40050,713,28,4.3,0,1,0,0,0,0,0,clean,synthetic_showcase_generator
Apple laptop good near Uttara,good Apple laptop available near Uttara. Inspection welcome before purchase.,laptop,Apple,good,58150,690,3,4.9,0,4,0,0,0,0,0,clean,synthetic_showcase_generator
Sony camera good near Badda,good Sony camera available near Badda. Inspection welcome before purchase.,camera,Sony,good,35450,261,12,4.4,0,5,0,0,0,0,0,clean,synthetic_showcase_generator
Hatil furniture good near Wari,good Hatil furniture available near Wari. Inspection welcome before purchase.,furniture,Hatil,good,9550,629,15,4.1,1,6,0,0,0,0,0,clean,synthetic_showcase_generator
