category,brand,condition,price
phone,Apple,excellent,56000
phone,Apple,excellent,52000
phone,Apple,excellent,59000
phone,Apple,good,43000
phone,Apple,good,41000
phone,Samsung,excellent,47000
phone,Samsung,good,39000
phone,Samsung,fair,28000
phone,Xiaomi,excellent,23000
phone,Xiaomi,good,18000
phone,Realme,good,16000
phone,OnePlus,excellent,42000
laptop,Dell,excellent,76000
laptop,Dell,excellent,72000
laptop,Dell,good,60000
laptop,HP,good,52000
laptop,HP,fair,37000
laptop,Lenovo,excellent,69000
laptop,Lenovo,good,54000
laptop,Apple,excellent,115000
laptop,Apple,good,93000
laptop,Asus,good,57000
camera,Canon,excellent,42000
camera,Canon,good,33000
camera,Canon,fair,26000
camera,Nikon,excellent,45000
camera,Nikon,good,35000
camera,Sony,excellent,62000
camera,Sony,good,51000
camera,Fujifilm,good,58000
furniture,Regal,excellent,9000
furniture,Regal,good,5200
furniture,Regal,fair,3500
furniture,Hatil,excellent,16000
furniture,Hatil,good,10500
furniture,Otobi,good,8500
furniture,generic,good,4500
furniture,generic,fair,2800
bicycle,Phoenix,excellent,18000
bicycle,Phoenix,good,13500
bicycle,Duranta,good,11500
bicycle,Duranta,fair,8000
bicycle,generic,good,6500
appliance,Walton,excellent,22000
appliance,Walton,good,16000
appliance,Singer,good,18000
appliance,Samsung,excellent,34000
appliance,Samsung,good,26000
appliance,LG,good,28000
book,generic,excellent,1200
book,generic,good,700
book,generic,fair,350
game,Sony,excellent,48000
game,Sony,good,39000
game,Microsoft,good,36000
